Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",98,370,334,86,62,20,0,4,21,34,31,0,74,2,3,0,11,0,0,0.257485029,1744
2023,"David Peralta","LAD",132,422,394,102,69,25,1,7,47,55,20,1,72,2,6,0,8,4,1,0.258883248,2136
2023,"Adam Wainwright","STL",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2233
2023,"Carlos Santana","2 Tms",146,619,550,132,75,33,1,23,78,86,65,0,104,0,4,0,11,6,0,0.24,2396
2023,"Nelson Cruz","SDP",49,152,143,35,24,5,1,5,9,23,6,1,46,2,1,0,2,1,0,0.244755244,2434
2023,"Manny Pina","OAK",4,12,12,3,2,0,0,1,1,1,0,0,3,0,0,0,1,0,0,0.25,2829
2023,"Roberto Perez","SFG",5,17,15,2,2,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0.133333333,2900
2023,"Tommy Pham","2 Tms",126,481,426,109,63,27,3,16,55,68,47,1,106,2,6,0,11,22,3,0.255868544,2967
2023,"Charlie Culberson","ATL",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3298
2023,"Anthony Rizzo","NYY",99,421,373,91,65,14,0,12,45,41,35,1,97,12,1,0,10,0,3,0.243967828,3473
2023,"Eric Hosmer","CHC",31,100,94,22,17,3,0,2,7,14,6,0,25,0,0,0,5,0,0,0.234042553,3516
2023,"Michael Brantley","HOU",15,57,54,15,11,2,0,2,7,7,2,0,2,0,1,0,2,0,0,0.277777777,4106
2023,"Joey Votto","CIN",64,242,208,42,22,6,0,14,26,38,27,0,62,7,0,0,2,0,0,0.201923076,4314
2023,"Mike Moustakas","2 Tms",111,386,352,87,60,15,0,12,43,48,23,1,95,3,8,0,7,0,0,0.24715909,4892
2023,"Jason Heyward","LAD",122,377,334,90,52,23,0,15,56,40,34,1,64,3,3,0,7,2,2,0.269461077,4940
2023,"Giancarlo Stanton","NYY",101,415,371,71,34,13,0,24,43,60,41,3,124,2,1,0,11,0,0,0.191374663,4949
2023,"Josh Donaldson","2 Tms",50,189,165,25,7,5,0,13,18,26,22,0,50,0,2,0,6,0,0,0.151515151,5038
2023,"Justin Turner","BOS",146,626,558,154,100,31,0,23,86,96,51,0,110,11,6,0,10,4,1,0.275985663,5235
2023,"Robbie Grossman","TEX",112,420,353,84,50,23,1,10,56,49,57,0,98,2,8,0,8,1,0,0.237960339,5254
2023,"Sandy Leon","TEX",17,44,41,6,4,2,0,0,4,4,1,0,20,1,0,1,2,0,0,0.146341463,5273
2023,"Aaron Hicks","2 Tms",91,312,269,68,50,9,1,8,44,36,42,1,69,0,1,0,3,6,0,0.252788104,5297
2023,"Brandon Crawford","SFG",91,320,283,55,36,11,1,7,31,38,28,1,81,4,4,1,5,3,0,0.194346289,5343
2023,"Freddie Freeman","LAD",161,730,637,211,121,59,2,29,131,102,72,12,121,16,5,0,14,23,1,0.331240188,5361
2023,"Jose Altuve","HOU",90,410,360,112,72,21,2,17,76,51,44,0,71,5,1,0,9,14,2,0.311111111,5417
2023,"Ji Man Choi","2 Tms",38,117,104,17,6,5,0,6,12,13,10,0,35,1,2,0,2,0,0,0.163461538,5452
2023,"Abraham Almonte","NYM",8,16,15,1,0,1,0,0,1,0,1,0,8,0,0,0,0,0,0,0.066666666,5486
2023,"Kyle Higashioka","NYY",80,260,242,57,34,13,0,10,24,34,14,0,74,0,3,1,5,0,0,0.23553719,5517
2023,"Avisail Garcia","MIA",37,118,108,20,13,3,1,3,8,12,6,1,39,2,0,0,1,2,0,0.185185185,5760
2023,"Wilmer Flores","SFG",126,454,405,115,70,22,0,23,51,60,41,1,63,5,2,1,13,0,0,0.283950617,5827
2023,"Jean Segura","MIA",84,326,301,66,56,5,2,3,25,21,22,1,47,2,0,1,12,6,2,0.219269102,5933
2023,"Eduardo Escobar","2 Tms",96,309,288,65,48,6,5,6,32,31,18,0,78,0,2,1,7,2,1,0.225694444,6153
2023,"J.D. Martinez","LAD",112,479,432,117,55,27,2,33,61,103,34,1,149,2,9,0,11,1,0,0.270833333,6184
2023,"Martin Maldonado","HOU",116,407,362,69,42,12,0,15,33,36,30,0,139,3,0,12,10,0,0,0.190607734,6887
2023,"Salvador Perez","KCR",140,580,538,137,93,21,0,23,59,80,19,6,135,13,8,0,11,0,0,0.25464684,7304
2023,"Travis d'Arnaud","ATL",72,292,267,60,36,13,0,11,31,39,21,0,67,3,1,0,6,0,0,0.224719101,7739
2023,"Miguel Rojas","LAD",123,423,385,91,69,16,1,5,49,31,26,0,48,5,5,2,12,8,3,0.236363636,7802
2023,"Charlie Blackmon","COL",96,413,359,100,63,24,5,8,57,40,39,0,55,11,4,0,6,4,1,0.278551532,7859
2023,"Matt Carpenter","SDP",75,237,188,33,16,12,0,5,18,31,41,0,67,2,5,0,2,1,0,0.175531914,8090
2023,"Josh Harrison","PHI",39,114,103,21,16,3,0,2,8,10,3,0,20,6,2,0,2,0,0,0.203883495,8202
2023,"Ehire Adrianza","ATL",5,11,10,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,8418
2023,"Donovan Solano","MIN",133,450,394,111,79,26,1,5,43,38,40,1,100,15,1,0,8,0,0,0.281725888,8623
2023,"Elvis Andrus","CHW",111,406,374,94,67,20,1,6,39,44,25,1,71,4,2,1,11,12,4,0.251336898,8709
2023,"Paul Goldschmidt","STL",154,687,593,159,103,31,0,25,89,80,87,6,161,3,3,0,12,11,2,0.268128161,9218
2023,"Starling Marte","NYM",85,341,315,78,65,7,1,5,38,28,16,1,69,8,0,2,8,24,4,0.247619047,9241
2023,"AJ Pollock","2 Tms",50,144,133,22,13,4,0,5,15,15,9,0,32,0,2,0,1,0,1,0.165413533,9256
2023,"Evan Longoria","ARI",73,237,211,47,27,9,0,11,25,28,23,0,73,0,3,0,8,0,0,0.222748815,9368
2023,"Yan Gomes","CHC",115,419,382,102,70,20,2,10,44,63,21,1,81,9,7,0,9,1,0,0.267015706,9627
2023,"Christian Vazquez","MIN",99,355,327,73,54,13,0,6,34,32,25,1,82,1,1,1,11,1,0,0.22324159,9774
2023,"Nolan Arenado","STL",144,612,560,149,95,26,2,26,71,93,41,5,101,3,8,0,21,3,3,0.266071428,9777
2023,"Andrew McCutchen","PIT",112,473,390,100,69,19,0,12,55,43,75,1,100,4,4,0,8,11,3,0.256410256,9847
2023,"DJ LeMahieu","NYY",136,562,497,121,81,22,3,15,55,44,60,2,125,3,2,0,14,2,2,0.243460764,9874
2023,"Darin Ruf","2 Tms",20,57,49,11,8,3,0,0,3,3,8,0,16,0,0,0,0,0,0,0.224489795,9929
2023,"Trayce Thompson","2 Tms",68,179,153,25,17,2,0,6,17,17,24,0,77,2,0,0,1,2,0,0.163398692,9952
2023,"Christian Bethancourt","TBR",99,332,315,71,44,16,0,11,49,33,13,0,91,0,3,1,6,1,0,0.225396825,10028
2023,"Chris Owings","PIT",8,25,25,4,4,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0.16,10030
2023,"Wil Myers","CIN",36,141,127,24,18,3,0,3,11,12,12,0,48,0,1,1,3,2,1,0.188976377,10047
2023,"Mike Trout","LAA",82,362,308,81,48,14,1,18,54,44,45,2,104,7,2,0,4,2,0,0.262987012,10155
2023,"Shelby Miller","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10197
2023,"Billy Hamilton","CHW",3,2,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,10199
2023,"Tucker Barnhart","CHC",41,123,109,22,18,3,0,1,6,9,12,0,42,1,1,0,4,1,0,0.201834862,10200
2023,"Randal Grichuk","2 Tms",118,471,434,116,67,31,2,16,65,44,29,2,96,6,2,0,11,2,2,0.267281105,10243
2023,"Brandon Belt","TOR",103,404,339,86,44,23,0,19,53,43,61,1,141,2,2,0,5,0,0,0.253687315,10264
2023,"Rafael Ortega","NYM",42,136,114,25,21,3,0,1,16,8,20,0,33,1,0,1,0,6,1,0.219298245,10323
2023,"Marcell Ozuna","ATL",144,592,530,145,75,29,1,40,84,100,57,1,134,3,2,0,9,0,0,0.273584905,10324
2023,"Jon Singleton","2 Tms",36,105,91,15,10,3,0,2,11,12,13,0,23,0,1,0,2,0,0,0.164835164,10441
2023,"Enrique Hernandez","2 Tms",137,508,465,110,76,23,0,11,57,61,34,1,97,3,6,0,17,4,1,0.236559139,10472
2023,"Carlos Perez","OAK",64,189,168,38,28,4,0,6,17,20,13,0,40,4,3,1,4,0,0,0.226190476,10642
2023,"Gio Urshela","LAA",60,228,214,64,53,8,1,2,22,24,10,0,36,1,3,0,9,3,2,0.29906542,10681
2023,"Corey Dickerson","WSN",50,152,144,36,26,7,1,2,12,17,7,0,28,0,1,0,3,0,1,0.25,10762
2023,"Jurickson Profar","2 Tms",123,521,459,111,73,27,2,9,55,46,50,0,90,6,5,0,11,1,0,0.241830065,10815
2023,"Adam Duvall","BOS",91,353,320,79,32,24,2,21,45,58,22,1,110,6,5,0,0,4,0,0.246875,10950
2023,"Kevin Kiermaier","TOR",114,408,370,98,63,21,6,8,58,36,29,0,86,4,4,1,9,14,1,0.264864864,11038
2023,"Kole Calhoun","CLE",43,174,157,34,21,7,0,6,18,25,13,0,37,2,2,0,3,0,1,0.216560509,11200
2023,"Jonathan Schoop","DET",55,151,136,29,21,8,0,0,15,7,13,0,37,0,2,0,6,0,0,0.213235294,11265
