Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2019,"CC Sabathia","NYY",1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,404
2019,"Todd Frazier","NYM",8,30,29,6,4,0,0,2,2,7,0,0,10,1,0,0,0,1,0,0.206896551,785
2019,"Ichiro Suzuki","SEA",2,6,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1101
2019,"Albert Pujols","LAA",27,107,91,20,12,4,0,4,10,15,12,0,14,2,2,0,3,0,0,0.219780219,1177
2019,"Wilson Ramos","NYM",28,99,89,22,19,2,0,1,12,17,8,2,15,1,1,0,3,0,0,0.247191011,1433
2019,"Sean Doolittle","WSN",2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1581
2019,"Miguel Cabrera","DET",27,117,103,29,23,5,0,1,10,11,12,0,31,1,1,0,3,0,0,0.281553398,1744
2019,"Zack Greinke","ARI",7,19,16,6,1,2,1,2,5,4,1,0,4,0,0,2,0,0,0,0.375,1943
2019,"Clayton Kershaw","LAD",3,8,7,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2036
2019,"David Peralta","ARI",29,132,123,39,21,13,1,4,19,20,7,1,32,1,1,0,4,0,0,0.31707317,2136
2019,"Edwin Encarnacion","SEA",28,125,101,24,15,1,0,8,21,20,19,0,24,4,1,0,1,0,1,0.237623762,2151
2019,"Adam Wainwright","STL",6,12,10,1,1,0,0,0,0,1,1,0,6,0,0,1,0,0,0,0.1,2233
2019,"Carlos Santana","CLE",27,114,95,30,22,5,0,3,17,16,18,5,18,1,0,0,3,1,0,0.315789473,2396
2019,"Nelson Cruz","MIN",23,91,78,23,12,6,0,5,14,15,10,1,23,3,0,0,3,0,0,0.294871794,2434
2019,"Lucas Duda","KCR",18,56,46,8,5,1,0,2,3,8,9,1,13,0,1,0,1,0,0,0.173913043,2502
2019,"Lance Lynn","TEX",1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2520
2019,"Yonder Alonso","CHW",25,100,84,16,8,3,0,5,13,13,16,1,15,0,0,0,2,0,0,0.19047619,2530
2019,"Peter Bourjos","LAA",18,46,44,4,3,1,0,0,4,2,1,0,15,0,1,0,1,2,0,0.09090909,2578
2019,"Jhoulys Chacin","MIL",6,9,8,3,2,0,0,1,2,1,1,0,3,0,0,0,0,0,0,0.375,2608
2019,"Zack Cozart","LAA",21,70,64,7,6,1,0,0,2,4,2,0,13,2,2,0,1,0,0,0.109375,2616
2019,"Rick Porcello","BOS",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2717
2019,"Manny Pina","MIL",14,31,26,4,3,1,0,0,1,1,3,0,8,2,0,0,1,0,0,0.153846153,2829
2019,"Roberto Perez","CLE",20,70,61,13,9,2,0,2,3,5,6,0,23,1,1,1,1,0,0,0.213114754,2900
2019,"Tommy Pham","TBR",27,125,102,30,23,1,2,4,14,12,21,0,19,1,1,0,7,6,2,0.294117647,2967
2019,"Mitch Moreland","BOS",28,100,89,19,6,5,0,8,13,17,10,0,20,0,1,0,5,0,0,0.213483146,3086
2019,"Kenley Jansen","LAD",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3096
2019,"Max Scherzer","WSN",6,16,16,2,2,0,0,0,1,1,0,0,8,0,0,0,1,0,0,0.125,3137
2019,"Robinson Chirinos","HOU",23,85,69,18,8,7,0,3,12,12,10,0,24,2,2,2,1,0,0,0.260869565,3142
2019,"Shin-Soo Choo","TEX",27,117,102,34,18,11,2,3,20,11,13,0,22,2,0,0,0,2,1,0.333333333,3174
2019,"David Price","BOS",1,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,3184
2019,"Jeff Samardzija","SFG",5,7,6,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,3254
2019,"Welington Castillo","CHW",16,60,49,10,6,2,0,2,2,8,9,0,11,2,0,0,2,0,0,0.204081632,3256
2019,"Robinson Cano","NYM",24,108,100,27,17,7,0,3,9,11,7,0,22,1,0,0,2,0,0,0.27,3269
2019,"Anibal Sanchez","WSN",6,12,12,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.083333333,3284
2019,"Charlie Culberson","ATL",13,12,12,5,1,2,0,2,2,6,0,0,4,0,0,0,0,0,1,0.416666666,3298
2019,"Martin Prado","MIA",23,73,68,20,15,4,0,1,7,8,3,0,10,0,2,0,2,0,0,0.294117647,3312
2019,"Matt Joyce","ATL",20,30,27,7,2,3,0,2,3,5,3,0,8,0,0,0,0,0,0,0.259259259,3353
2019,"Nick Hundley","OAK",16,44,42,8,7,1,0,0,1,1,1,0,9,1,0,0,5,0,1,0.19047619,3376
2019,"Ryan Braun","MIL",28,105,97,19,11,3,0,5,11,16,6,0,25,1,0,0,4,1,0,0.195876288,3410
2019,"Drew Butera","COL",5,17,15,3,1,2,0,0,4,0,1,0,3,0,0,1,0,0,0,0.2,3411
2019,"Jeff Mathis","TEX",14,51,47,8,7,0,0,1,7,2,4,0,14,0,0,0,0,0,0,0.170212765,3448
2019,"Anthony Rizzo","CHC",27,124,101,23,10,6,1,6,20,18,16,0,20,7,0,0,1,1,0,0.227722772,3473
