Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2022,"Albert Pujols","STL",109,351,307,83,45,14,0,24,42,68,28,1,55,10,6,0,13,1,2,0.270358306,1177
2022,"Miguel Cabrera","DET",112,433,397,101,86,10,0,5,25,43,28,3,101,3,5,0,11,1,0,0.25440806,1744
2022,"David Peralta","2 Tms",134,490,439,110,65,30,3,12,39,59,41,5,114,4,6,0,8,1,3,0.250569476,2136
2022,"Carlos Santana","2 Tms",130,506,431,87,50,18,0,19,52,60,71,2,88,2,2,0,9,0,0,0.201856148,2396
2022,"Nelson Cruz","WSN",124,507,448,105,79,16,0,10,50,64,49,1,119,4,3,0,16,4,0,0.234375,2434
2022,"Manny Pina","ATL",5,17,14,2,2,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0.142857142,2829
2022,"Roberto Perez","PIT",20,69,60,14,10,2,0,2,8,8,9,0,25,0,0,0,1,0,0,0.233333333,2900
2022,"Tommy Pham","2 Tms",144,622,554,131,90,23,1,17,89,63,56,0,167,7,5,0,20,8,3,0.236462093,2967
2022,"Robinson Chirinos","BAL",66,220,195,35,22,9,0,4,10,22,19,0,67,4,1,1,4,1,0,0.179487179,3142
2022,"Robinson Cano","3 Tms",32,104,100,15,13,1,0,1,5,4,4,0,25,0,0,0,2,0,0,0.15,3269
2022,"Charlie Culberson","TEX",62,124,115,29,21,6,0,2,19,12,5,0,31,0,0,4,5,2,3,0.252173913,3298
2022,"Anthony Rizzo","NYY",129,548,465,104,50,21,1,32,77,75,58,6,101,23,2,0,13,6,5,0.223655913,3473
2022,"Eric Hosmer","2 Tms",103,419,380,102,75,19,0,8,38,44,37,5,64,1,1,0,12,0,0,0.268421052,3516
2022,"Michael Brantley","HOU",64,277,243,70,50,14,1,5,28,26,31,2,30,1,1,1,1,1,1,0.288065843,4106
2022,"Joey Votto","CIN",91,376,322,66,36,18,1,11,31,41,44,0,97,10,0,0,8,0,0,0.204968944,4314
2022,"Jed Lowrie","OAK",50,184,167,30,22,5,0,3,14,16,15,0,39,0,2,0,5,1,0,0.179640718,4418
2022,"Mike Moustakas","CIN",78,285,252,54,35,12,0,7,30,25,24,0,75,6,3,0,8,2,0,0.214285714,4892
2022,"Ender Inciarte","NYM",5,8,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.125,4922
2022,"Jason Heyward","CHC",45,151,137,28,21,5,1,1,15,10,11,0,32,3,0,0,3,1,0,0.204379562,4940
2022,"Giancarlo Stanton","NYY",110,452,398,84,46,7,0,31,53,78,50,2,137,0,3,0,8,0,0,0.211055276,4949
2022,"Stephen Vogt","OAK",69,191,168,27,15,4,1,7,18,23,17,0,46,2,4,0,4,1,0,0.160714285,5000
2022,"Josh Donaldson","NYY",131,546,478,106,63,28,0,15,59,62,54,1,148,8,6,0,13,2,2,0.221757322,5038
2022,"Justin Upton","SEA",17,57,48,6,4,1,0,1,2,3,6,0,23,3,0,0,1,0,0,0.125,5222
2022,"Justin Turner","LAD",128,532,468,130,81,36,0,13,61,81,50,1,89,6,8,0,13,3,0,0.277777777,5235
2022,"Robbie Grossman","2 Tms",128,477,411,86,59,19,1,7,40,45,56,0,129,6,4,0,3,6,2,0.209245742,5254
2022,"Sandy Leon","2 Tms",29,86,71,12,9,3,0,0,6,4,13,0,27,0,0,2,2,0,0,0.169014084,5273
